view,angle_deg,mtf_a,mtf_b,mtf_c,nnps_a,nnps_b,nnps_c,nnps_d
0,-25.0,0.537841927384904,3.766224066305625,3.766233979383184,2.0905667300366403e-05,2.6017338114585122,2.5559348313532267e-05,6.8519668143887635
1,-22.916666666666668,0.5193452937435198,3.8731707852846666,3.8731708018215008,2.032285789648978e-05,2.610747798212043,2.4669231037087455e-05,6.871836137243025
2,-20.833333333333332,0.48593333125722266,3.972394894655932,3.972337920918003,1.9810810192425602e-05,2.6189790947424387,2.389056331926323e-05,6.890160683137339
3,-18.75,0.46562307251165,4.062604023420587,4.062666089780683,1.9363239701248516e-05,2.6264253439500393,2.3212688960669264e-05,6.9068873273308125
4,-16.666666666666668,0.44215287917540325,4.1435340199404305,4.143534240682102,1.8974892702546052e-05,2.6330855699472635,2.2626681024944137e-05,6.92197054061987
5,-14.583333333333334,0.42296272018842074,4.215089806853056,4.2150252516156685,1.8641360293423944e-05,2.6389596186933426,2.2125072329762177e-05,6.935369405991392
6,-12.500000000000002,0.4068716987320101,4.277351770778629,4.277352534906295,1.8358984737957416e-05,2.6440476339783343,2.1701666322307017e-05,6.947048959717649
7,-10.416666666666666,0.39894156656456287,4.33058974186139,4.330547941322727,1.8124762407214544e-05,2.6483506230226985,2.135136743761999e-05,6.956980194646486
8,-8.333333333333334,0.38647761243702167,4.3746924309361415,4.374684561637006,1.7936259885516657e-05,2.6518694953862325,2.1070056221767317e-05,6.965138710811943
9,-6.250000000000003,0.3547387658529504,4.409556547463579,4.409554349190081,1.7791555712733747e-05,2.6546049210550726,2.08544971417723e-05,6.971503226256722
10,-4.166666666666667,0.3496806093075473,4.434852890584653,4.434850809349857,1.76892009833702e-05,2.656558105271721,2.0702223857088915e-05,6.976060280406409
11,-2.0833333333333353,0.392188681511426,4.450196262461963,4.450240953270961,1.7628193655723467e-05,2.6577299594631016,2.0611536823291884e-05,6.978799308862987
12,-3.1805546814635168e-15,0.38894844638988774,4.45538223596929,4.455382997369997,1.760791722170692e-05,2.658120371016512,2.058141584114848e-05,6.97971255987748
13,2.083333333333332,0.392188681511426,4.450196262461963,4.450240953270961,1.7628193655723467e-05,2.6577299594631016,2.0611536823291884e-05,6.978799308862987
14,4.166666666666667,0.3496806093075473,4.434852890584653,4.434850809349857,1.76892009833702e-05,2.656558105271721,2.0702223857088915e-05,6.976060280406409
15,6.2499999999999964,0.3547387658529504,4.409556547463579,4.409554349190081,1.7791555712733747e-05,2.6546049210550726,2.08544971417723e-05,6.971503226256722
16,8.333333333333332,0.38647761243702167,4.3746924309361415,4.374684561637006,1.7936259885516657e-05,2.6518694953862325,2.1070056221767317e-05,6.965138710811943
17,10.416666666666666,0.39894156656456287,4.33058974186139,4.330547941322727,1.8124762407214544e-05,2.6483506230226985,2.135136743761999e-05,6.956980194646486
18,12.499999999999995,0.4068716987320101,4.277351770778629,4.277352534906295,1.8358984737957416e-05,2.6440476339783343,2.1701666322307017e-05,6.947048959717649
19,14.58333333333333,0.42296272018842074,4.215089806853056,4.2150252516156685,1.8641360293423944e-05,2.6389596186933426,2.2125072329762177e-05,6.935369405991392
20,16.666666666666664,0.44215287917540325,4.1435340199404305,4.143534240682102,1.8974892702546052e-05,2.6330855699472635,2.2626681024944137e-05,6.92197054061987
21,18.749999999999993,0.46562307251165,4.062604023420587,4.062666089780683,1.9363239701248516e-05,2.6264253439500393,2.3212688960669264e-05,6.9068873273308125
22,20.83333333333333,0.48593333125722266,3.972394894655932,3.972337920918003,1.9810810192425602e-05,2.6189790947424387,2.389056331926323e-05,6.890160683137339
23,22.916666666666664,0.5193452937435198,3.8731707852846666,3.8731708018215008,2.032285789648978e-05,2.610747798212043,2.4669231037087455e-05,6.871836137243025
24,25.0,0.537841927384904,3.766224066305625,3.766233979383184,2.0905667300366403e-05,2.6017338114585122,2.5559348313532267e-05,6.8519668143887635
